id,candidate_id,round_no,scheduled_date,scheduled_time,session_duration_minutes,interview_mode,status,ai_score,communication_score,response_confidence_score,questions_answered,total_questions,transcript_summary,created_at
102_26,18,2,2024-09-29,17:45:00,45,AI Avatar,Completed,82.7,87.25,79.58,8,10,"Hemant handled the pressure well throughout the interview. Communication style was confident and professional, scoring 87.2 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in UI/UX Designer work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2024-09-25 00:00:00
102_27,19,1,2024-07-21,15:30:00,60,Video,Completed,63.34,58.35,64.06,10,15,"Siddharth started the session somewhat slowly but picked up momentum midway. Technical answers were mostly correct but lacked depth — responses tended to describe 'what' rather than 'why'. When asked about past project challenges, the candidate gave a general answer without specifics. Communication score of 58.4 reflects occasional hesitations and reliance on filler phrases. The candidate did not volunteer additional context unless directly prompted. Coding section was partially completed with one logical error not caught independently. Overall a competent but not standout performance.",2024-07-18 00:00:00
102_28,20,1,2024-01-25,16:00:00,90,Video,Completed,54.72,51.05,50.2,7,10,"Ritu started the session somewhat slowly but picked up momentum midway. Technical answers were mostly correct but lacked depth — responses tended to describe 'what' rather than 'why'. When asked about past project challenges, the candidate gave a general answer without specifics. Communication score of 51.0 reflects occasional hesitations and reliance on filler phrases. The candidate did not volunteer additional context unless directly prompted. Coding section was partially completed with one logical error not caught independently. Overall a competent but not standout performance.",2024-01-24 00:00:00
102_29,20,2,2024-01-26,17:45:00,45,AI Avatar,Completed,53.12,51.12,50.21,10,12,"The session revealed a candidate with foundational knowledge in Product Manager but inconsistent depth. Ritu was able to answer straightforward questions confidently, but struggled when questions moved into architecture or system design territory. When redirected, the candidate often recovered with a partial answer. Answers to behavioral questions were vague — candidate mentioned 'team collaboration' without concrete examples. Confidence score of 50.2 reflects some nervousness during live problem-solving segments. The candidate showed willingness to learn and was receptive to interviewer hints.",2024-01-26 00:00:00
102_30,21,1,2025-03-30,10:30:00,90,AI Avatar,Completed,78.3,86.46,75.91,8,10,"Monika demonstrated strong command over core UI/UX Designer concepts from the outset. When asked about system design trade-offs, the candidate articulated clear reasoning around scalability and fault tolerance. Responses to situational questions were structured and backed with relevant examples from prior work. The candidate showed awareness of real-world constraints and didn't shy away from discussing past failures constructively. Communication was clear, paced well, and largely free of filler. Confidence was consistent even during follow-up probing questions. Minor gaps noted in knowledge of newer tooling but quickly self-corrected.",2025-03-29 00:00:00
102_31,22,1,2024-02-12,16:15:00,45,AI Avatar,Completed,74.08,79.33,83.19,7,8,"The session with Ashwin was notably efficient. Answered 7 of 8 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-02-07 00:00:00
102_32,22,2,2024-02-08,15:45:00,30,Video,Completed,77.04,81.26,85.96,6,8,"The session with Ashwin was notably efficient. Answered 6 of 8 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-02-09 00:00:00
102_33,23,1,2024-06-29,12:00:00,30,Voice,Completed,75.96,77.04,91.19,13,15,"Dinesh demonstrated strong command over core UI/UX Designer concepts from the outset. When asked about system design trade-offs, the candidate articulated clear reasoning around scalability and fault tolerance. Responses to situational questions were structured and backed with relevant examples from prior work. The candidate showed awareness of real-world constraints and didn't shy away from discussing past failures constructively. Communication was clear, paced well, and largely free of filler. Confidence was consistent even during follow-up probing questions. Minor gaps noted in knowledge of newer tooling but quickly self-corrected.",2024-06-27 00:00:00
102_34,23,2,2024-06-29,13:00:00,45,AI Avatar,Completed,76.43,76.93,93.6,6,8,"The session with Dinesh was notably efficient. Answered 6 of 8 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-06-29 00:00:00
102_35,24,1,2024-06-11,11:00:00,90,Video,Completed,34.4,46.04,20.34,3,8,"Sahil was unable to complete most of the structured problem-solving questions. Responses to conceptual questions were partially correct at best. The candidate frequently asked for clarification on basic terms, suggesting foundational gaps. On the coding segment, submitted code was syntactically incomplete. Communication was polite and cooperative, but technical performance fell significantly below the expected benchmark for a UI/UX Designer candidate. The session was completed but with notable difficulty. Score alignment is consistent with a reject or hold decision.",2024-06-05 00:00:00
102_36,25,1,2024-06-02,11:30:00,30,AI Avatar,Completed,73.12,74.98,71.12,10,12,"Yash handled the pressure well throughout the interview. Communication style was confident and professional, scoring 75.0 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in QA Engineer work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2024-05-25 00:00:00
102_37,25,2,2024-06-02,15:15:00,45,AI Avatar,Completed,72.21,74.37,73.04,13,15,"Yash handled the pressure well throughout the interview. Communication style was confident and professional, scoring 74.4 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in QA Engineer work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2024-05-27 00:00:00
102_38,26,1,2024-12-12,09:15:00,60,AI Avatar,Completed,22.47,41.81,30.22,7,12,"The interview with Preeti revealed a significant mismatch between stated experience and demonstrated knowledge. Questions on core Product Manager competencies were answered incorrectly or with visible uncertainty. The candidate attempted to redirect conversations away from technical depth, instead generalizing. Confidence score of 30.2 was low — the candidate explicitly said 'I'm not sure' on multiple occasions without attempting to reason through the problem. Behavioral questions also lacked specifics. Pattern suggests either limited practical exposure or inadequate interview preparation.",2024-12-11 00:00:00
102_39,27,1,2025-01-23,16:15:00,45,AI Avatar,Completed,75.39,82.97,81.0,9,10,"Ritu demonstrated strong command over core Product Manager concepts from the outset. When asked about system design trade-offs, the candidate articulated clear reasoning around scalability and fault tolerance. Responses to situational questions were structured and backed with relevant examples from prior work. The candidate showed awareness of real-world constraints and didn't shy away from discussing past failures constructively. Communication was clear, paced well, and largely free of filler. Confidence was consistent even during follow-up probing questions. Minor gaps noted in knowledge of newer tooling but quickly self-corrected.",2025-01-17 00:00:00
102_40,28,1,2024-04-18,14:00:00,90,Voice,Completed,76.74,72.26,75.07,12,15,"Ansh handled the pressure well throughout the interview. Communication style was confident and professional, scoring 72.3 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in DevOps Engineer work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2024-04-13 00:00:00
102_41,28,2,2024-04-14,09:00:00,60,AI Avatar,Completed,75.0,71.92,76.55,11,12,"Ansh demonstrated strong command over core DevOps Engineer concepts from the outset. When asked about system design trade-offs, the candidate articulated clear reasoning around scalability and fault tolerance. Responses to situational questions were structured and backed with relevant examples from prior work. The candidate showed awareness of real-world constraints and didn't shy away from discussing past failures constructively. Communication was clear, paced well, and largely free of filler. Confidence was consistent even during follow-up probing questions. Minor gaps noted in knowledge of newer tooling but quickly self-corrected.",2024-04-15 00:00:00
102_42,29,1,2024-08-29,15:00:00,30,Video,Completed,37.97,31.85,25.92,6,10,"The interview with Sonal revealed a significant mismatch between stated experience and demonstrated knowledge. Questions on core Product Manager competencies were answered incorrectly or with visible uncertainty. The candidate attempted to redirect conversations away from technical depth, instead generalizing. Confidence score of 25.9 was low — the candidate explicitly said 'I'm not sure' on multiple occasions without attempting to reason through the problem. Behavioral questions also lacked specifics. Pattern suggests either limited practical exposure or inadequate interview preparation.",2024-08-25 00:00:00
102_43,30,1,2025-02-05,13:00:00,60,Video,Completed,73.39,75.22,71.95,14,15,"The session with Pratik was notably efficient. Answered 14 of 15 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2025-01-29 00:00:00
102_44,30,2,2025-01-31,17:15:00,45,Voice,Completed,75.54,76.44,74.67,12,12,"Pratik demonstrated strong command over core Automation Test Engineer concepts from the outset. When asked about system design trade-offs, the candidate articulated clear reasoning around scalability and fault tolerance. Responses to situational questions were structured and backed with relevant examples from prior work. The candidate showed awareness of real-world constraints and didn't shy away from discussing past failures constructively. Communication was clear, paced well, and largely free of filler. Confidence was consistent even during follow-up probing questions. Minor gaps noted in knowledge of newer tooling but quickly self-corrected.",2025-01-31 00:00:00
102_45,31,1,2024-07-20,11:30:00,60,AI Avatar,Completed,49.86,65.79,50.38,13,15,Manish performed adequately across most sections but showed visible uncertainty in two key areas: cloud infrastructure decisions and performance optimization strategies. Completed 13 of 15 questions. The candidate's communication improved noticeably in the latter half of the interview. Technical responses were textbook-accurate but lacked real-world framing. No significant red flags were observed but the performance does not clearly differentiate this candidate from others at the same experience level.,2024-07-15 00:00:00
102_46,32,1,2025-02-23,15:45:00,90,AI Avatar,Completed,93.39,75.04,90.58,13,15,"Karan handled the pressure well throughout the interview. Communication style was confident and professional, scoring 75.0 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in Android Developer work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2025-02-19 00:00:00
102_47,32,2,2025-02-20,17:45:00,30,Voice,Completed,93.26,76.49,91.93,8,8,"The session with Karan was notably efficient. Answered 8 of 8 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2025-02-21 00:00:00
102_48,33,1,2024-05-30,17:45:00,45,AI Avatar,Cancelled,,,,1,15,"Ashwin started the session somewhat slowly but picked up momentum midway. Technical answers were mostly correct but lacked depth — responses tended to describe 'what' rather than 'why'. When asked about past project challenges, the candidate gave a general answer without specifics. Communication score of 0 reflects occasional hesitations and reliance on filler phrases. The candidate did not volunteer additional context unless directly prompted. Coding section was partially completed with one logical error not caught independently. Overall a competent but not standout performance.",2024-05-25 00:00:00
102_49,34,1,2024-06-11,15:15:00,60,AI Avatar,Completed,94.07,76.82,82.9,15,15,"Sakshi demonstrated strong command over core Software Engineer concepts from the outset. When asked about system design trade-offs, the candidate articulated clear reasoning around scalability and fault tolerance. Responses to situational questions were structured and backed with relevant examples from prior work. The candidate showed awareness of real-world constraints and didn't shy away from discussing past failures constructively. Communication was clear, paced well, and largely free of filler. Confidence was consistent even during follow-up probing questions. Minor gaps noted in knowledge of newer tooling but quickly self-corrected.",2024-06-05 00:00:00
102_50,34,2,2024-06-09,14:30:00,90,Voice,Completed,96.62,78.74,85.82,15,15,"The session with Sakshi was notably efficient. Answered 15 of 15 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-06-07 00:00:00
102_51,35,1,2025-01-02,14:00:00,30,AI Avatar,Cancelled,,,,0,15,"The interview session for Rohit was cut short due to technical difficulties on the candidate's end. The available transcript covers approximately 0 questions. From the partial data, the candidate appeared engaged and initial responses were reasonable, but depth cannot be assessed. Recommend follow-up session before making any recommendation.",2024-12-26 00:00:00
102_52,36,1,2024-04-18,16:15:00,60,Video,Completed,23.25,28.96,26.44,6,10,"Komal struggled to maintain focus during the session. Out of 10 questions, only 6 were meaningfully answered. Several core technical questions went unanswered or received incorrect responses without self-correction. When asked about Full Stack Developer fundamentals, the candidate gave surface-level answers that did not hold up under follow-up probing. Communication score of 29.0 reflects frequent long pauses, incomplete sentences, and off-topic tangents. The candidate appeared underprepared for the level expected. No significant strengths identified to offset the technical gaps.",2024-04-14 00:00:00
102_53,37,1,2024-06-16,17:45:00,45,AI Avatar,Completed,60.71,67.34,54.28,9,12,"The session revealed a candidate with foundational knowledge in Cybersecurity Analyst but inconsistent depth. Mohit was able to answer straightforward questions confidently, but struggled when questions moved into architecture or system design territory. When redirected, the candidate often recovered with a partial answer. Answers to behavioral questions were vague — candidate mentioned 'team collaboration' without concrete examples. Confidence score of 54.3 reflects some nervousness during live problem-solving segments. The candidate showed willingness to learn and was receptive to interviewer hints.",2024-06-12 00:00:00
102_54,38,1,2024-07-12,13:00:00,90,AI Avatar,Completed,27.18,41.24,41.21,8,15,"The interview with Saurabh revealed a significant mismatch between stated experience and demonstrated knowledge. Questions on core Database Administrator competencies were answered incorrectly or with visible uncertainty. The candidate attempted to redirect conversations away from technical depth, instead generalizing. Confidence score of 41.2 was low — the candidate explicitly said 'I'm not sure' on multiple occasions without attempting to reason through the problem. Behavioral questions also lacked specifics. Pattern suggests either limited practical exposure or inadequate interview preparation.",2024-07-10 00:00:00
102_55,39,1,2024-06-25,15:15:00,90,AI Avatar,Completed,73.06,92.37,74.41,8,10,"The session with Farhan was notably efficient. Answered 8 of 10 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-06-17 00:00:00
102_56,39,2,2024-06-25,11:45:00,45,AI Avatar,Completed,72.0,92.61,75.5,12,12,"Farhan handled the pressure well throughout the interview. Communication style was confident and professional, scoring 92.6 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in Cybersecurity Analyst work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2024-06-19 00:00:00
102_57,40,1,2024-09-15,10:15:00,90,Video,Completed,53.91,64.27,58.89,6,10,"The session revealed a candidate with foundational knowledge in QA Engineer but inconsistent depth. Ritu was able to answer straightforward questions confidently, but struggled when questions moved into architecture or system design territory. When redirected, the candidate often recovered with a partial answer. Answers to behavioral questions were vague — candidate mentioned 'team collaboration' without concrete examples. Confidence score of 58.9 reflects some nervousness during live problem-solving segments. The candidate showed willingness to learn and was receptive to interviewer hints.",2024-09-13 00:00:00
102_58,41,1,2025-02-02,17:15:00,90,AI Avatar,Completed,70.43,55.4,56.57,9,15,"Archana started the session somewhat slowly but picked up momentum midway. Technical answers were mostly correct but lacked depth — responses tended to describe 'what' rather than 'why'. When asked about past project challenges, the candidate gave a general answer without specifics. Communication score of 55.4 reflects occasional hesitations and reliance on filler phrases. The candidate did not volunteer additional context unless directly prompted. Coding section was partially completed with one logical error not caught independently. Overall a competent but not standout performance.",2025-01-27 00:00:00
102_59,42,1,2024-08-01,14:00:00,60,AI Avatar,Completed,63.95,66.79,42.16,10,15,"Vivek started the session somewhat slowly but picked up momentum midway. Technical answers were mostly correct but lacked depth — responses tended to describe 'what' rather than 'why'. When asked about past project challenges, the candidate gave a general answer without specifics. Communication score of 66.8 reflects occasional hesitations and reliance on filler phrases. The candidate did not volunteer additional context unless directly prompted. Coding section was partially completed with one logical error not caught independently. Overall a competent but not standout performance.",2024-07-28 00:00:00
