id,candidate_id,rating,decision_alignment,useful_output,bias_flagged,feedback_comment,corrected_recommendation,reviewed_at
105_73,73,5,True,True,False,"Useful output for this candidate. The coding score (79.5%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Pranav's notice period is 90 days, which matters for our timeline.",,2024-10-04 00:00:00
105_75,75,2,True,False,False,Hold was the right call. Bhavna is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,Hold,2024-06-10 00:00:00
105_77,77,3,True,True,False,The AI correctly flagged the drop-off in performance between sections. Ankita's MCQ was deceptively okay (69.3%) but the coding section (41.1%) exposed the gap. System was right. Rejection communicated.,,2024-11-18 00:00:00
105_78,78,2,False,False,False,AI output was useful here. The concerns were specific enough that I could use them in the feedback email to the candidate without starting from scratch. One feedback: the system could include a suggested rejection reason template.,Reject,2024-03-07 00:00:00
105_79,79,2,False,False,False,I agreed with the hold for Ishan but the concerns listed were a bit generic. The candidate's issue is specifically around live coding — not just 'inconsistent depth'. Would appreciate more granular output for borderline cases.,Hold,2024-08-25 00:00:00
105_80,80,5,True,True,False,The recommendation was well-supported. I cross-checked the transcript against the scores and they were consistent. The next step suggestion was practical — I did exactly that. Would rate this output highly if it could also tag time-to-hire impact.,,2024-11-20 00:00:00
105_81,81,4,True,True,False,"I almost overrode this one because Karan had a strong resume on paper. But when I looked at the transcript closely, the AI's concern was valid. The candidate was polished in language but thin on technical depth. Rejection confirmed.",,2024-03-29 00:00:00
105_82,82,4,True,True,False,"AI output was accurate for Ishan. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2024-12-25 00:00:00
105_83,83,5,True,True,False,"AI output was accurate for Urvashi. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2024-08-15 00:00:00
105_84,84,4,True,True,False,The hold recommendation was fair but I felt the AI could have been clearer about what specifically needs to be retested. Mansi's hold was vague — I had to design the follow-up interview criteria myself.,,2024-01-27 00:00:00
105_85,85,5,True,True,False,"Useful output for this candidate. The coding score (82.5%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Aniket's notice period is 90 days, which matters for our timeline.",,2025-01-06 00:00:00
105_86,86,5,True,True,False,The recommendation was well-supported. I cross-checked the transcript against the scores and they were consistent. The next step suggestion was practical — I did exactly that. Would rate this output highly if it could also tag time-to-hire impact.,,2025-02-06 00:00:00
105_87,87,2,False,False,False,AI output was useful here. The concerns were specific enough that I could use them in the feedback email to the candidate without starting from scratch. One feedback: the system could include a suggested rejection reason template.,Reject,2024-11-20 00:00:00
105_88,88,5,True,True,False,"AI output was accurate for Prashant. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2024-09-06 00:00:00
105_89,89,5,True,True,True,Solid AI output. The logic score of 87.9% was the deciding factor and the system correctly highlighted that. Decision was easy to justify to the panel. The summary was presentable as-is without edits.,,2024-02-09 00:00:00
105_90,90,2,False,False,False,I agreed with the hold for Ekta but the concerns listed were a bit generic. The candidate's issue is specifically around live coding — not just 'inconsistent depth'. Would appreciate more granular output for borderline cases.,Hold,2024-12-27 00:00:00
105_91,91,5,True,True,False,"Useful output for this candidate. The coding score (81.3%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Shubham's notice period is 90 days, which matters for our timeline.",,2025-01-18 00:00:00
105_92,92,2,True,False,False,"I almost overrode this one because Charu had a strong resume on paper. But when I looked at the transcript closely, the AI's concern was valid. The candidate was polished in language but thin on technical depth. Rejection confirmed.",,2025-02-27 00:00:00
105_93,93,5,True,True,False,I agreed with the hold for Roshni but the concerns listed were a bit generic. The candidate's issue is specifically around live coding — not just 'inconsistent depth'. Would appreciate more granular output for borderline cases.,,2024-07-12 00:00:00
105_94,94,3,True,True,False,"For Hemant, the AI output captured the ambiguity well. The summary correctly noted inconsistency across sections. That was useful for communicating to the hiring manager why we're not moving fast. Hold maintained.",,2025-04-02 00:00:00
105_95,95,3,False,True,False,The hold recommendation was fair but I felt the AI could have been clearer about what specifically needs to be retested. Trisha's hold was vague — I had to design the follow-up interview criteria myself.,Hold,2024-05-12 00:00:00
105_97,97,2,False,False,False,Hold was the right call. Vikas is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,Hold,2025-02-21 00:00:00
105_98,98,2,False,False,False,The recommendation was well-supported. I cross-checked the transcript against the scores and they were consistent. The next step suggestion was practical — I did exactly that. Would rate this output highly if it could also tag time-to-hire impact.,Proceed,2025-03-24 00:00:00
105_99,99,4,True,True,False,Partially useful. The hold recommendation was supported by the scores but the next step was too vague. I expected the system to suggest a specific topic list for the follow-up round given the score breakdown.,,2024-09-13 00:00:00
105_100,100,3,True,True,False,"I almost overrode this one because Parth had a strong resume on paper. But when I looked at the transcript closely, the AI's concern was valid. The candidate was polished in language but thin on technical depth. Rejection confirmed.",,2025-02-16 00:00:00
105_101,101,3,True,True,True,Clean output. The confidence score on the rejection (47% range indicators) were helpful. Rejection was straightforward and I didn't need to dig into the raw transcript. AI saved time here.,,2024-11-16 00:00:00
105_102,102,3,True,True,False,Partially useful. The hold recommendation was supported by the scores but the next step was too vague. I expected the system to suggest a specific topic list for the follow-up round given the score breakdown.,,2025-01-19 00:00:00
105_103,103,4,True,True,False,"For Ashwin, the AI output captured the ambiguity well. The summary correctly noted inconsistency across sections. That was useful for communicating to the hiring manager why we're not moving fast. Hold maintained.",,2024-05-17 00:00:00
105_105,105,4,True,True,False,Agreed with the rejection for Kavita. The AI's concern about shallow domain knowledge was accurate — I reviewed the same transcript and the candidate's answers were genuinely surface-level. The output saved me about 40 minutes of manual review.,,2024-06-03 00:00:00
105_106,106,2,False,False,False,Output was insufficient to make a call. The interview transcript was incomplete and the AI score felt unreliable. I escalated for a re-interview. Useful to have the flag but the system needs better handling of incomplete session data.,Hold,2024-07-22 00:00:00
105_107,107,3,False,True,False,"I almost overrode this one because Neeraj had a strong resume on paper. But when I looked at the transcript closely, the AI's concern was valid. The candidate was polished in language but thin on technical depth. Rejection confirmed.",Reject,2024-09-16 00:00:00
105_108,108,5,True,True,False,Good catch by the AI — Rohit's assessment scores were genuinely strong and the interview transcript matched that. The summary was clean and easy to present to the hiring manager. Would appreciate if the system also flagged salary band alignment automatically in future.,,2024-09-08 00:00:00
105_109,109,3,True,True,False,"For Garima, the AI output captured the ambiguity well. The summary correctly noted inconsistency across sections. That was useful for communicating to the hiring manager why we're not moving fast. Hold maintained.",,2025-04-01 00:00:00
105_111,111,2,False,False,False,Output was insufficient to make a call. The interview transcript was incomplete and the AI score felt unreliable. I escalated for a re-interview. Useful to have the flag but the system needs better handling of incomplete session data.,Reject,2025-02-22 00:00:00
105_112,112,3,True,True,False,"For Aparna, the AI output captured the ambiguity well. The summary correctly noted inconsistency across sections. That was useful for communicating to the hiring manager why we're not moving fast. Hold maintained.",,2025-01-27 00:00:00
105_113,113,5,True,True,False,"AI output was accurate for Praveen. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2024-01-31 00:00:00
105_114,114,4,True,True,False,"AI output was accurate for Sachin. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2024-11-17 00:00:00
105_115,115,4,True,True,False,"AI output was accurate for Harsh. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2024-08-11 00:00:00
105_116,116,4,True,True,False,Good catch by the AI — Poonam's assessment scores were genuinely strong and the interview transcript matched that. The summary was clean and easy to present to the hiring manager. Would appreciate if the system also flagged salary band alignment automatically in future.,,2024-09-06 00:00:00
105_117,117,5,True,True,False,Solid AI output. The logic score of 74.0% was the deciding factor and the system correctly highlighted that. Decision was easy to justify to the panel. The summary was presentable as-is without edits.,,2024-08-01 00:00:00
105_119,119,1,False,False,False,Hold was the right call. Arjun is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,Hold,2024-05-08 00:00:00
105_120,120,1,False,False,True,I agreed with the hold for Ekta but the concerns listed were a bit generic. The candidate's issue is specifically around live coding — not just 'inconsistent depth'. Would appreciate more granular output for borderline cases.,Hold,2024-01-29 00:00:00
105_122,122,5,True,True,False,Solid AI output. The logic score of 82.5% was the deciding factor and the system correctly highlighted that. Decision was easy to justify to the panel. The summary was presentable as-is without edits.,,2024-04-26 00:00:00
105_123,123,3,True,True,False,Partially useful. The hold recommendation was supported by the scores but the next step was too vague. I expected the system to suggest a specific topic list for the follow-up round given the score breakdown.,,2025-03-25 00:00:00
105_124,124,4,True,True,False,The hold recommendation was fair but I felt the AI could have been clearer about what specifically needs to be retested. Sneha's hold was vague — I had to design the follow-up interview criteria myself.,,2024-07-08 00:00:00
105_125,125,2,False,False,False,Output was insufficient to make a call. The interview transcript was incomplete and the AI score felt unreliable. I escalated for a re-interview. Useful to have the flag but the system needs better handling of incomplete session data.,Hold,2024-03-13 00:00:00
105_126,126,5,True,True,False,"AI output was accurate for Praveen. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2024-02-18 00:00:00
105_127,127,2,False,False,False,I agreed with the hold for Pallavi but the concerns listed were a bit generic. The candidate's issue is specifically around live coding — not just 'inconsistent depth'. Would appreciate more granular output for borderline cases.,Hold,2024-01-31 00:00:00
105_128,128,2,False,False,False,Hold was the right call. Rahul is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,Hold,2024-04-13 00:00:00
105_129,129,3,True,True,False,The recommendation was well-supported. I cross-checked the transcript against the scores and they were consistent. The next step suggestion was practical — I did exactly that. Would rate this output highly if it could also tag time-to-hire impact.,,2024-09-16 00:00:00
105_130,130,3,False,True,False,I disagreed with the AI recommendation. Tanya had a strong background that wasn't captured well in the structured questions. The avatar format may not be suited for all candidate types. Raised concern with the team about assessment design.,Proceed,2025-03-30 00:00:00
105_131,131,3,True,True,False,"Useful output for this candidate. The coding score (55.0%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Jay's notice period is 90 days, which matters for our timeline.",,2024-07-08 00:00:00
105_132,132,2,False,False,False,Output was insufficient to make a call. The interview transcript was incomplete and the AI score felt unreliable. I escalated for a re-interview. Useful to have the flag but the system needs better handling of incomplete session data.,Reject,2024-01-31 00:00:00
105_133,133,3,True,True,False,The hold recommendation was fair but I felt the AI could have been clearer about what specifically needs to be retested. Rakesh's hold was vague — I had to design the follow-up interview criteria myself.,,2024-04-04 00:00:00
105_134,134,2,False,False,True,"For Piyush, the AI output captured the ambiguity well. The summary correctly noted inconsistency across sections. That was useful for communicating to the hiring manager why we're not moving fast. Hold maintained.",Hold,2024-12-11 00:00:00
105_135,135,3,True,True,False,The AI correctly flagged the drop-off in performance between sections. Poonam's MCQ was deceptively okay (31.4%) but the coding section (33.4%) exposed the gap. System was right. Rejection communicated.,,2025-03-23 00:00:00
105_136,136,4,True,True,False,The AI correctly flagged the drop-off in performance between sections. Tanya's MCQ was deceptively okay (20.6%) but the coding section (37.2%) exposed the gap. System was right. Rejection communicated.,,2024-02-10 00:00:00
105_137,137,1,False,False,False,"For Ankit, the AI output captured the ambiguity well. The summary correctly noted inconsistency across sections. That was useful for communicating to the hiring manager why we're not moving fast. Hold maintained.",Hold,2024-06-25 00:00:00
105_138,138,4,True,True,False,Solid AI output. The logic score of 81.6% was the deciding factor and the system correctly highlighted that. Decision was easy to justify to the panel. The summary was presentable as-is without edits.,,2024-04-15 00:00:00
105_139,139,4,True,True,False,"Useful output for this candidate. The coding score (78.7%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Soham's notice period is 90 days, which matters for our timeline.",,2024-03-09 00:00:00
105_140,140,3,False,True,False,"Useful output for this candidate. The coding score (61.8%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Soham's notice period is 90 days, which matters for our timeline.",Proceed,2024-02-26 00:00:00
105_141,141,5,True,True,False,"Useful output for this candidate. The coding score (71.2%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Mihir's notice period is 90 days, which matters for our timeline.",,2024-05-15 00:00:00
105_142,142,5,True,True,False,Hold was the right call. Anjali is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,,2024-02-03 00:00:00
105_144,144,3,True,True,False,Hold was the right call. Sonal is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,,2024-06-27 00:00:00
105_145,145,5,True,True,False,Solid AI output. The logic score of 94.9% was the deciding factor and the system correctly highlighted that. Decision was easy to justify to the panel. The summary was presentable as-is without edits.,,2024-06-04 00:00:00
105_146,146,3,True,True,False,Good catch by the AI — Lokesh's assessment scores were genuinely strong and the interview transcript matched that. The summary was clean and easy to present to the hiring manager. Would appreciate if the system also flagged salary band alignment automatically in future.,,2024-11-27 00:00:00
105_147,147,5,True,True,False,The recommendation was well-supported. I cross-checked the transcript against the scores and they were consistent. The next step suggestion was practical — I did exactly that. Would rate this output highly if it could also tag time-to-hire impact.,,2024-11-16 00:00:00
105_148,148,4,True,True,False,Good catch by the AI — Pragya's assessment scores were genuinely strong and the interview transcript matched that. The summary was clean and easy to present to the hiring manager. Would appreciate if the system also flagged salary band alignment automatically in future.,,2024-10-16 00:00:00
105_149,149,3,True,True,False,The hold recommendation was fair but I felt the AI could have been clearer about what specifically needs to be retested. Komal's hold was vague — I had to design the follow-up interview criteria myself.,,2024-08-08 00:00:00
105_150,150,3,True,True,False,Agreed with the rejection for Shubham. The AI's concern about shallow domain knowledge was accurate — I reviewed the same transcript and the candidate's answers were genuinely surface-level. The output saved me about 40 minutes of manual review.,,2024-08-03 00:00:00
105_152,152,1,False,False,False,"AI output was accurate for Kunal. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",Proceed,2025-04-20 00:00:00
105_153,153,1,False,False,False,I disagreed with the AI recommendation. Sonal had a strong background that wasn't captured well in the structured questions. The avatar format may not be suited for all candidate types. Raised concern with the team about assessment design.,Hold,2025-04-06 00:00:00
105_154,154,2,True,False,False,AI output was useful here. The concerns were specific enough that I could use them in the feedback email to the candidate without starting from scratch. One feedback: the system could include a suggested rejection reason template.,Reject,2025-01-04 00:00:00
105_155,155,5,True,True,True,"AI output was accurate for Pallavi. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2024-04-21 00:00:00
105_158,158,2,False,False,False,The hold recommendation was fair but I felt the AI could have been clearer about what specifically needs to be retested. Anusha's hold was vague — I had to design the follow-up interview criteria myself.,Hold,2024-11-13 00:00:00
